 FILE   DATE  TIME    ZA    RELAZ    SOLDEP  INT   ISC  RMIN  RMED  RMAX
T47F08  83084 2322   27.85 -176.09   37.83   6.8   5.6   2.5   1.5   1.2
T47F05  83084 2202   26.83   -4.31   32.13  10.2   8.6   3.1   1.9   1.6
T47F04  83084 2144   24.82    2.69   30.16  10.5   8.9   3.1   1.9   1.6
T46F04  30184  116   22.63   93.93   51.63   3.4   3.1   2.7   1.4   1.0
T44F22  22284 2236   26.49  164.16   51.23   2.6   2.3   1.8   1.0   0.7
T44F07  20784    5   21.86   62.05   62.55   2.2   2.0   2.6   1.4   0.9
T44F05  20684 2325   16.36 -150.19   60.86   1.5   1.3   1.7   0.9   0.6
T54F27 121385 2118   29.00  -63.72   52.70   3.4   3.1   2.5   1.3   1.0
T53F16 101185   36   29.96  158.60   52.28   2.5   2.2   1.7   0.9   0.7
T53F13 101185    8    0.38    0.00   53.66   2.9   2.6   3.3   1.8   1.2
T53F12 101085 2348   24.64    5.36   54.04   3.3   2.9   2.6   1.4   1.0
T53F11 101085 2333   20.08   17.13   53.96   3.4   3.0   2.9   1.6   1.1
T53F10 101085 2317   16.29   34.10   53.55   3.1   2.8   2.8   1.5   1.1
